Unnamed: 0,BIL.,NO. LESEN,NAMA PEMEGANG LESEN,ALAMAT PEPASANGAN,KEUPAYAAN SETIAP UNIT PENGECAS,JUMLAH BILANGAN UNIT PENGECAS,DC,AC,KAPASITI PEPASANGAN (KW),TEMPOH SAH LESEN,JUMLAH BAY,DC BAY,AC BAY
3,,LA 12/1/16/8 (D-EVCS),EV CONNECTION SDN. BHD.,"MUKIM HULU LEPAR, DAERAH KUANTAN, 26300 NEGERI PAHANG",50KW DC : 1 UNIT,1,1,0,50,05/12/2022 - 04/12/2032,1,1,0
6,,LA 12/1/16/41 (D-EVCS),BLH ECOENERGY SDN BHD,"BLH ECOENERGY SDN. BHD., A1, TINGKAT BAWAH, LORONG SERI SETALI 1, JALAN AIR PUTIH, 25300 KUANTAN, NEGERI PAHANG",22KW AC : 2 UNIT,2,2,0,44,8/5/2023 - 7/5/2033,2,2,0
25,,LA 12/1/16/10 (D-EVCS),EV CONNECTION SDN BHD,"PETRONAS R&R GAMBANG LEBUHRAYA PANTAI TIMUR (EASTBOUND), MUKIM HULU LEPAR, DAERAH KUANTAN 25150 PAHANG",90KW DC : 2 UNIT,2,2,0,180,5/12/2022 - 4/12/2032,2,2,0
57,,LA 12/1/16/103 (D-EVCS),BLH ECOENERGY SDN BHD,"GROUND FLOOR, BERJAYA MEGAMALL, LOT G15, JALAN TUN ISMAIL,SRI DAGANGAN KUANTAN KUANTAN 25000 PAHANG",22KW AC : 1 UNIT & 11KW AC : 1 UNI,2,0,2,33,7/7/2023 - 6/7/2033,2,0,2
58,,LA 12/1/16/111 (D-EVCS),BLH ECOENERGY SDN BHD,"PL- HADAPAN BANGUNAN MBK JALAN TANAH PUTIH, TANAH PUTIH, 25100 KUANTAN PAHANG KUANTAN KUANTAN 25100 PAHANG",22KW AC : 1 UNIT & 11KW AC : 1 UNI,2,0,2,33,7/7/2023 - 6/7/2033,2,0,2
59,,LA 12/1/16/129 (D-EVCS),BLH ECOENERGY SDN BHD,"TEMPAT LETAK KENDERAAN AWAM BERHADAPAN MEGAVIEW HOTEL, 567, JALAN BESAR KUANTAN KUANTAN 25000 PAHANG",40KWAC: 1 UNIT 11KWAC: 1 UNIT,2,0,2,51,7/7/2023 - 6/7/2033,2,0,2
96,,LA 12/1/16/171 (D-EVCS),BLH ECOENERGY SDN BHD,"PL-HADAPAN DINASOUR ENCOUNTER ZOO TERUNTUM, JLN PADANG GOLF KUANTAN KUANTAN 25050 PAHANG",22KWAC: 1 UNIT 11KWAC: 1 UNIT,2,0,2,33,21/8/2023 - 20/8/2033,2,0,2
116,,LA 12/1/16/165 (D-EVCS),BLH ECOENERGY SDN BHD,PL-HADAPAN EMPIRE SEAFOOD RESTAURANT KUANTAN KUANTAN 25000 PAHANG,22KWAC: 1 UNIT 11KWAC: 1 UNIT,2,0,2,33,11/9/2023 - 10/9/2033,2,0,2
117,,LA 12/1/16/173 (D-EVCS),BLH ECOENERGY SDN BHD,"PL-HADAPAN LOTENG, JLN TENGKU ABU BAKAR, PUSAT REKREASI TELUK CEMPEDAK KUANTAN KUANTAN 25050 PAHANG",11KWAC : 3 UNIT,3,0,3,33,7/9/2023 - 6/9/2033,3,0,3
118,,LA 12/1/16/183 (D-EVCS),BLH ECOENERGY SDN BHD,"PL-BERHADAPAN MCDONALD'S KUANTAN RIVERFRONT DT, JALAN TANAH PUTIH, 25100 KUANTAN, PAHANG",22KW AC : 1 UNIT 11KW AC : 1 UNIT,2,0,2,33,11/9/2023 - 10/9/2033,2,0,2
