date,state,parlimen,dun,sex,age,ethnicity,population
1/1/2020,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,overall,18.696
1/1/2020,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,citizen,18.193
1/1/2020,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,noncitizen,0.503
1/1/2020,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,female,overall,overall,8.831
1/1/2020,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,male,overall,overall,9.865
1/1/2021,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,overall,18.9
1/1/2021,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,citizen,18.3
1/1/2021,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,noncitizen,0.6
1/1/2021,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,female,overall,overall,8.9
1/1/2021,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,male,overall,overall,10
1/1/2022,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,overall,19
1/1/2022,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,citizen,18.4
1/1/2022,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,noncitizen,0.6
1/1/2022,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,female,overall,overall,9
1/1/2022,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,male,overall,overall,10
1/1/2020,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,overall,18.129
1/1/2020,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,citizen,17.06
1/1/2020,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,noncitizen,1.069
1/1/2020,Perlis,P.001 Padang Besar,N.02 Beseri,female,overall,overall,9.029
1/1/2020,Perlis,P.001 Padang Besar,N.02 Beseri,male,overall,overall,9.1
1/1/2021,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,overall,18.3
1/1/2021,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,citizen,17.1
1/1/2021,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,noncitizen,1.2
1/1/2021,Perlis,P.001 Padang Besar,N.02 Beseri,female,overall,overall,9.1
1/1/2021,Perlis,P.001 Padang Besar,N.02 Beseri,male,overall,overall,9.2
1/1/2022,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,overall,18.4
1/1/2022,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,citizen,17.2
1/1/2022,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,noncitizen,1.3
1/1/2022,Perlis,P.001 Padang Besar,N.02 Beseri,female,overall,overall,9.2
1/1/2022,Perlis,P.001 Padang Besar,N.02 Beseri,male,overall,overall,9.2
1/1/2020,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,overall,24.239
1/1/2020,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,citizen,23.392
1/1/2020,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,noncitizen,0.847
1/1/2020,Perlis,P.001 Padang Besar,N.03 Chuping,female,overall,overall,11.624
1/1/2020,Perlis,P.001 Padang Besar,N.03 Chuping,male,overall,overall,12.615
1/1/2021,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,overall,24.5
1/1/2021,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,citizen,23.5
1/1/2021,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,noncitizen,1
1/1/2021,Perlis,P.001 Padang Besar,N.03 Chuping,female,overall,overall,11.7
1/1/2021,Perlis,P.001 Padang Besar,N.03 Chuping,male,overall,overall,12.7
1/1/2022,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,overall,24.7
1/1/2022,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,citizen,23.6
1/1/2022,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,noncitizen,1
1/1/2022,Perlis,P.001 Padang Besar,N.03 Chuping,female,overall,overall,11.8
1/1/2022,Perlis,P.001 Padang Besar,N.03 Chuping,male,overall,overall,12.8
1/1/2020,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,overall,11.883
1/1/2020,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,citizen,11.793
1/1/2020,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,noncitizen,0.09
1/1/2020,Perlis,P.001 Padang Besar,N.04 Mata Ayer,female,overall,overall,5.859
1/1/2020,Perlis,P.001 Padang Besar,N.04 Mata Ayer,male,overall,overall,6.024
1/1/2021,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,overall,12
1/1/2021,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,citizen,11.9
1/1/2021,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,noncitizen,0.1
1/1/2021,Perlis,P.001 Padang Besar,N.04 Mata Ayer,female,overall,overall,5.9
1/1/2021,Perlis,P.001 Padang Besar,N.04 Mata Ayer,male,overall,overall,6.1
1/1/2022,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,overall,12.1
1/1/2022,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,citizen,12
1/1/2022,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,noncitizen,0.1
1/1/2022,Perlis,P.001 Padang Besar,N.04 Mata Ayer,female,overall,overall,6
1/1/2022,Perlis,P.001 Padang Besar,N.04 Mata Ayer,male,overall,overall,6.1
1/1/2020,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,overall,13.851
1/1/2020,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,citizen,13.636
1/1/2020,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,noncitizen,0.215
1/1/2020,Perlis,P.001 Padang Besar,N.05 Santan,female,overall,overall,6.968
1/1/2020,Perlis,P.001 Padang Besar,N.05 Santan,male,overall,overall,6.883
1/1/2021,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,overall,14
1/1/2021,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,citizen,13.7
1/1/2021,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,noncitizen,0.2
1/1/2021,Perlis,P.001 Padang Besar,N.05 Santan,female,overall,overall,7
1/1/2021,Perlis,P.001 Padang Besar,N.05 Santan,male,overall,overall,6.9
1/1/2022,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,overall,14.1
1/1/2022,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,citizen,13.8
1/1/2022,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,noncitizen,0.3
1/1/2022,Perlis,P.001 Padang Besar,N.05 Santan,female,overall,overall,7.1
1/1/2022,Perlis,P.001 Padang Besar,N.05 Santan,male,overall,overall,7
1/1/2020,Perlis,P.002 Kangar,N.06 Bintong,both,overall,overall,28.003
1/1/2020,Perlis,P.002 Kangar,N.06 Bintong,both,overall,citizen,27.392
